region,volume_total
TotalUS,5864740181.8000021
West,1086779155.7499993
California,1028981653.1699995
SouthCentral,1011279618.8299996
Northeast,713280909.56000042
Southeast,615238409.110001
GreatLakes,589642549.29000008
Midsouth,508349357.20000029
LosAngeles,507896547.63000071
Plains,311188529.11
